Time (s),Power (dBm),Percentage (%)
0.297363758,-53,94
0.796996117,-53,94
1.297099113,-51,98
1.797029018,-53,94
2.297213077,-53,94
2.797000885,-55,90
3.297265529,-51,98
3.797229767,-51,98
4.297277450,-51,98
4.797168255,-49,100
5.297278881,-49,100
5.796932697,-57,86
6.297165871,-53,94
6.797144890,-55,90
7.297155380,-60,80
7.797174931,-47,100
8.797171593,-55,90
9.297138214,-51,98
9.797107696,-55,90
10.297107220,-53,94
10.797166347,-58,84
11.297117233,-49,100
11.797002315,-53,94
12.297136783,-59,82
12.797052383,-53,94
13.297257423,-61,78
13.797065258,-55,90
14.297308922,-57,86
14.796937942,-57,86
15.297128200,-59,82
15.796913147,-53,94
16.297231197,-55,90
16.796938896,-55,90
17.297037124,-62,76
17.796927929,-57,86
18.297174454,-60,80
18.796902180,-62,76
19.297213554,-57,86
19.796933651,-57,86
20.297032833,-61,78
20.796977043,-62,76
21.297178745,-57,86
21.797041893,-61,78
22.297159195,-59,82
22.797064781,-59,82
23.297163963,-62,76
23.797044277,-62,76
24.297250748,-57,86
24.797062874,-60,80
25.297008514,-67,66
25.797075748,-60,80
26.297011852,-59,82
26.796902180,-62,76
27.297006607,-62,76
27.797020912,-59,82
28.297020912,-62,76
28.796841621,-65,70
29.297113895,-63,74
29.796998501,-61,78
30.296995640,-62,76
30.797014236,-59,82
31.297132015,-63,74
31.796833038,-64,72
32.297122478,-65,70
32.796818256,-65,70
33.297086716,-67,66
33.796809196,-69,62
34.297164917,-63,74
34.796823025,-65,70
35.297030449,-65,70
